Year,Date,Flow,Stage
2006,4/10/06,33900,766.79
2005,5/15/05,23900,763.4
2004,6/15/04,23700,763.39
2003,5/15/03,15000,759.75
2002,6/24/02,13000,758.66
2001,4/16/01,73700,774.88
2000,6/4/00,16900,760.97
1999,4/12/99,24200,764.08
1998,4/4/98,28400,765.29
1997,4/10/97,79800,775.53
1996,6/20/96,28000,766.66
1995,4/24/95,27600,766.8
1994,4/28/94,21800,763.7
1993,6/21/93,75600,778.03
1992,3/11/92,23900,765.88
1991,6/9/91,33100,769.29
1990,7/30/90,17100,762.97
1989,3/27/89,15800,762.32
1988,4/6/88,5520,755.99
1987,3/29/87,8170,758.45
1986,5/2/86,36300,770.57
1985,3/17/85,29700,768.12
1984,6/26/84,41000,772.47
1983,4/18/83,33300,770.05
1982,3/24/82,15500,762.94
1981,6/27/81,14200,762.21
1980,6/8/80,15700,763.04
1979,4/3/79,30000,768.78
1978,4/8/78,13300,761.67
1977,6/18/77,7850,757.13
1976,4/2/76,5130,755.25
1975,5/1/75,24100,765.12
1974,6/11/74,12500,760.8
1973,3/17/73,19700,764.44
1972,6/9/72,20200,764.99
1971,3/22/71,21400,765.04
1970,4/25/70,8680,757.56
1969,4/12/69,76700,774.99
1968,7/27/68,15800,762.57
1967,6/18/67,18700,763.96
1966,4/2/66,15400,762.36
1965,4/10/65,94100,777.01
1964,5/15/64,12400,760.22
1963,7/24/63,15600,762.5
1962,4/2/62,39800,769.54
1961,3/29/61,17600,763.53
1960,5/23/60,34300,768.33
1959,6/3/59,4850,755.14
1958,4/13/58,7570,757.44
1957,6/24/57,41700,770.5
1956,6/26/56,11600,760.61
1955,3/12/55,8200,758.16
1954,6/23/54,10000,759.54
1953,6/10/53,25100,766.76
1952,4/14/52,53500,772.54
1951,4/9/51,66600,774.12
1950,3/31/50,12200,761.82
1949,4/3/49,26600,767.8
1948,3/24/48,17900,764.84
1947,7/10/47,20400,765.89
1946,3/18/46,13300,763.04
1945,3/16/45,18000,765.34
1944,5/23/44,25100,768.33
1943,6/18/43,19800,767.21
1942,6/7/42,7280,759.32
1941,3/31/41,11400,762.71
1940,4/11/40,3930,755.51
1939,3/24/39,9350,761.31
1938,9/19/38,11200,763.6
1937,6/17/37,8400,760.83
1936,3/23/36,25100,767.95
1935,3/16/35,5100,756.77
1934,4/7/34,2170,753.43
1933,4/3/33,13400,762.94
1932,3/30/32,7400,760.8
1931,6/22/31,1350,752.42
1930,2/25/30,9260,760.12
1929,3/18/29,23200,766.92
1928,3/20/28,11400,761.77
1927,3/14/27,12100,762.42
1926,3/23/26,4990,756.79
1925,6/17/25,8640,761.02
1924,7/2/24,3540,755.72
1923,5/4/23,1630,753.41
1922,3/16/22,9040,761.42